Timestamp:      Type:

402.191297: funcgraph_entry:        0.108 us   |                                    get_mem_cgroup_from_mm();
402.191297: funcgraph_entry:                   |                                    __memcg_kmem_charge_memcg() {
402.191297: funcgraph_entry:                   |                                      try_charge() {
402.191298: funcgraph_entry:                   |                                        page_counter_try_charge() {
402.191298: funcgraph_entry:        0.102 us   |                                          propagate_protected_usage();
402.191298: funcgraph_entry:        0.103 us   |                                          propagate_protected_usage();
402.191298: funcgraph_entry:        0.104 us   |                                          propagate_protected_usage();
402.191298: funcgraph_entry:        0.104 us   |                                          propagate_protected_usage();
402.191299: funcgraph_exit:         0.960 us   |                                        }
402.191299: funcgraph_entry:        0.110 us   |                                        refill_stock();
402.191299: funcgraph_exit:         1.411 us   |                                      }
402.191299: funcgraph_entry:                   |                                      page_counter_try_charge() {
402.191299: funcgraph_entry:        0.099 us   |                                        propagate_protected_usage();
402.191299: funcgraph_entry:        0.099 us   |                                        propagate_protected_usage();
402.191299: funcgraph_entry:        0.108 us   |                                        propagate_protected_usage();
402.191300: funcgraph_entry:        0.101 us   |                                        propagate_protected_usage();
402.191300: funcgraph_exit:         0.939 us   |                                      }
402.191300: funcgraph_exit:         2.652 us   |                                    }
402.191300: funcgraph_exit:         3.070 us   |                                  }
402.191300: funcgraph_exit:         5.305 us   |                                }
402.191300: funcgraph_exit:         6.126 us   |                              }
402.191300: funcgraph_entry:        0.103 us   |                              inc_zone_page_state();
402.191301: funcgraph_exit:         6.524 us   |                            }
402.191301: funcgraph_entry:        0.104 us   |                            _raw_spin_lock();
402.191301: funcgraph_exit:         6.928 us   |                          }
402.191301: funcgraph_entry:        0.103 us   |                          _raw_spin_lock();
402.191301: funcgraph_exit:         7.329 us   |                        }
402.191301: funcgraph_exit:         7.529 us   |                      }
402.191301: funcgraph_exit:       + 20.241 us  |                    }
402.191302: funcgraph_exit:       + 20.431 us  |                  }
402.191302: funcgraph_entry:        0.102 us   |                  nova_iomap_end();
402.191302: funcgraph_entry:                   |                  dax_unlock_entry() {
402.191302: funcgraph_entry:        0.116 us   |                    _raw_spin_lock_irq();
402.191302: funcgraph_entry:        0.156 us   |                    dax_wake_entry();
402.191302: funcgraph_exit:         0.601 us   |                  }
402.191303: funcgraph_exit:       + 27.672 us  |                }
402.191303: funcgraph_exit:       + 27.874 us  |              }
402.191303: funcgraph_exit:       + 28.073 us  |            }
402.191303: funcgraph_exit:       + 28.268 us  |          }
402.191303: funcgraph_exit:       + 33.722 us  |        }
402.191303: funcgraph_entry:        0.106 us   |        dec_zone_page_state();
402.191303: funcgraph_entry:                   |        __free_pages() {
402.191303: funcgraph_entry:                   |          free_unref_page() {
402.191304: funcgraph_entry:                   |            free_pcp_prepare() {
402.191304: funcgraph_entry:                   |              __memcg_kmem_uncharge() {
