Timestamp:     Type:

139397.325943: funcgraph_entry:        0.122 us   |                              __inc_numa_state();
139397.325943: funcgraph_entry:                   |                              prep_new_page() {
139397.325944: funcgraph_entry:        0.125 us   |                                kernel_poison_pages();
139397.325944: funcgraph_entry:        0.124 us   |                                page_poisoning_enabled();
139397.325944: funcgraph_entry:        0.133 us   |                                page_poisoning_enabled();
139397.325945: funcgraph_exit:         1.018 us   |                              }
139397.325945: funcgraph_exit:         1.823 us   |                            }
139397.325945: funcgraph_exit:         2.820 us   |                          }
139397.325945: funcgraph_exit:         3.801 us   |                        }
139397.325945: funcgraph_exit:         4.049 us   |                      }
139397.325945: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325945: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325945: funcgraph_entry:        0.124 us   |                          get_task_policy.part.0();
139397.325946: funcgraph_entry:        0.121 us   |                          policy_nodemask();
139397.325946: funcgraph_entry:        0.124 us   |                          policy_node();
139397.325946: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325946: funcgraph_entry:                   |                            _cond_resched() {
139397.325946: funcgraph_entry:        0.125 us   |                              rcu_all_qs();
139397.325947: funcgraph_exit:         0.366 us   |                            }
139397.325947: funcgraph_entry:        0.123 us   |                            should_fail_alloc_page();
139397.325947: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325947: funcgraph_entry:        0.125 us   |                              __inc_numa_state();
139397.325947: funcgraph_entry:        0.125 us   |                              __inc_numa_state();
139397.325948: funcgraph_entry:                   |                              prep_new_page() {
139397.325948: funcgraph_entry:        0.194 us   |                                kernel_poison_pages();
139397.325948: funcgraph_entry:        0.125 us   |                                page_poisoning_enabled();
139397.325948: funcgraph_entry:        0.213 us   |                                page_poisoning_enabled();
139397.325949: funcgraph_exit:         1.174 us   |                              }
139397.325949: funcgraph_exit:         1.968 us   |                            }
139397.325949: funcgraph_exit:         2.953 us   |                          }
139397.325949: funcgraph_exit:         3.956 us   |                        }
139397.325949: funcgraph_exit:         4.195 us   |                      }
139397.325949: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325950: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325950: funcgraph_entry:        0.121 us   |                          get_task_policy.part.0();
139397.325950: funcgraph_entry:        0.186 us   |                          policy_nodemask();
139397.325951: funcgraph_entry:        0.370 us   |                          policy_node();
139397.325951: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325951: funcgraph_entry:                   |                            _cond_resched() {
139397.325951: funcgraph_entry:        0.130 us   |                              rcu_all_qs();
139397.325951: funcgraph_exit:         0.369 us   |                            }
139397.325952: funcgraph_entry:        0.120 us   |                            should_fail_alloc_page();
