Timestamp:      Type:

16805.449130: funcgraph_exit:         0.310 us   |                  }
16805.449130: funcgraph_entry:                   |                  page_counter_cancel() {
16805.449130: funcgraph_entry:        0.108 us   |                    propagate_protected_usage();
16805.449130: funcgraph_exit:         0.313 us   |                  }
16805.449130: funcgraph_exit:         1.779 us   |                }
16805.449130: funcgraph_entry:                   |                page_counter_uncharge() {
16805.449131: funcgraph_entry:                   |                  page_counter_cancel() {
16805.449131: funcgraph_entry:        0.118 us   |                    propagate_protected_usage();
16805.449131: funcgraph_exit:         0.348 us   |                  }
16805.449131: funcgraph_entry:                   |                  page_counter_cancel() {
16805.449131: funcgraph_entry:        0.113 us   |                    propagate_protected_usage();
16805.449131: funcgraph_exit:         0.346 us   |                  }
16805.449131: funcgraph_entry:                   |                  page_counter_cancel() {
16805.449132: funcgraph_entry:        0.119 us   |                    propagate_protected_usage();
16805.449132: funcgraph_exit:         0.412 us   |                  }
16805.449132: funcgraph_entry:                   |                  page_counter_cancel() {
16805.449132: funcgraph_entry:        0.114 us   |                    propagate_protected_usage();
16805.449132: funcgraph_exit:         0.343 us   |                  }
16805.449132: funcgraph_exit:         1.971 us   |                }
16805.449133: funcgraph_exit:         4.060 us   |              }
16805.449133: funcgraph_entry:        0.103 us   |              kernel_poison_pages();
16805.449133: funcgraph_exit:         4.470 us   |            }
16805.449133: funcgraph_entry:        0.108 us   |            free_unref_page_prepare.part.74();
16805.449133: funcgraph_entry:        0.104 us   |            free_unref_page_commit();
16805.449133: funcgraph_exit:         5.104 us   |          }
16805.449133: funcgraph_exit:         5.301 us   |        }
16805.449134: funcgraph_exit:       + 56.973 us  |      }
16805.449134: funcgraph_exit:       + 57.407 us  |    }
16805.449134: funcgraph_entry:        0.104 us   |    up_read();
16805.449134: funcgraph_exit:       + 58.919 us  |  }
